,number,value,datetime_start,datetime_complete,duration,params_alpha_actor,params_alpha_critic,state
0,0,-0.5595335235183193,2024-09-28 16:00:22.018945,2024-09-28 16:00:22.604069,0 days 00:00:00.585124,0.48260338500232225,0.9772917596312843,COMPLETE
1,1,-0.4777089144789758,2024-09-28 16:00:22.605006,2024-09-28 16:00:23.420794,0 days 00:00:00.815788,0.08266845522709952,0.5822958280556518,COMPLETE
2,2,-0.5876365195226134,2024-09-28 16:00:23.421812,2024-09-28 16:00:24.056827,0 days 00:00:00.635015,0.22306251448017725,0.3558585351038842,COMPLETE
3,3,-0.5249689802916288,2024-09-28 16:00:24.057779,2024-09-28 16:00:24.799284,0 days 00:00:00.741505,0.12388810452794564,0.6672544748927705,COMPLETE
4,4,-0.5562295917219143,2024-09-28 16:00:24.800328,2024-09-28 16:00:25.270479,0 days 00:00:00.470151,0.4673545174438039,0.8387971897217765,COMPLETE
5,5,-0.5799598656587829,2024-09-28 16:00:25.271589,2024-09-28 16:00:25.750477,0 days 00:00:00.478888,0.9349068547421076,0.8063948138513624,COMPLETE
6,6,-0.5948279154172454,2024-09-28 16:00:25.751837,2024-09-28 16:00:26.497419,0 days 00:00:00.745582,0.18066817415352826,0.2441952466612329,COMPLETE
7,7,-0.5418527209142434,2024-09-28 16:00:26.498355,2024-09-28 16:00:27.211774,0 days 00:00:00.713419,0.7639723291246933,0.11817655619490823,COMPLETE
8,8,-0.27806365783025677,2024-09-28 16:00:27.212711,2024-09-28 16:00:28.339832,0 days 00:00:01.127121,0.019988108224349817,0.6456765060957071,COMPLETE
9,9,-0.42669058251231157,2024-09-28 16:00:28.340716,2024-09-28 16:00:29.347692,0 days 00:00:01.006976,0.07959122261048127,0.10676277975039832,COMPLETE
10,10,-0.6653937337426852,2024-09-28 16:00:29.348773,2024-09-28 16:00:29.966811,0 days 00:00:00.618038,0.36857296590394256,0.43190443211615037,COMPLETE
