,number,value,datetime_start,datetime_complete,duration,params_alpha_actor,params_alpha_critic,state
0,0,-8.495925906326683,2024-09-28 19:13:06.344587,2024-09-28 19:13:08.798123,0 days 00:00:02.453536,0.5629316116780587,0.8095290098072312,COMPLETE
1,1,-8.523725817853336,2024-09-28 19:13:08.799089,2024-09-28 19:13:11.273459,0 days 00:00:02.474370,0.5516815874209738,0.6881449890588774,COMPLETE
2,2,-9.395614954052864,2024-09-28 19:13:11.274527,2024-09-28 19:13:13.949606,0 days 00:00:02.675079,0.5321038622926721,0.33005465520902205,COMPLETE
3,3,-9.16010888160494,2024-09-28 19:13:13.950648,2024-09-28 19:13:16.632070,0 days 00:00:02.681422,0.41718962241753604,0.6333230839325062,COMPLETE
4,4,-13.329486034947452,2024-09-28 19:13:16.632953,2024-09-28 19:13:20.389335,0 days 00:00:03.756382,0.1163666011028286,0.4473630375774455,COMPLETE
5,5,-12.677024403233258,2024-09-28 19:13:20.390203,2024-09-28 19:13:24.363021,0 days 00:00:03.972818,0.40424461055550104,0.10827865451949605,COMPLETE
6,6,-9.942966195043821,2024-09-28 19:13:24.363928,2024-09-28 19:13:27.402350,0 days 00:00:03.038422,0.9672433672732533,0.17560480208167026,COMPLETE
7,7,-8.603167661965637,2024-09-28 19:13:27.403288,2024-09-28 19:13:29.897111,0 days 00:00:02.493823,0.6970636164942561,0.5085109809007418,COMPLETE
8,8,-8.758415114709289,2024-09-28 19:13:29.898002,2024-09-28 19:13:32.538395,0 days 00:00:02.640393,0.9334392514575522,0.29399529146359066,COMPLETE
9,9,-10.149366001931748,2024-09-28 19:13:32.539325,2024-09-28 19:13:35.639673,0 days 00:00:03.100348,0.4974740777285937,0.2487508427136027,COMPLETE
10,10,-11.59903835662803,2024-09-28 19:13:35.640648,2024-09-28 19:13:38.951575,0 days 00:00:03.310927,0.17380252032075327,0.9042315285493098,COMPLETE
11,11,-8.311494630239721,2024-09-28 19:13:38.952532,2024-09-28 19:13:41.357575,0 days 00:00:02.405043,0.7066085751332453,0.8241778818524111,COMPLETE
12,12,-8.308436778630757,2024-09-28 19:13:41.358510,2024-09-28 19:13:43.803667,0 days 00:00:02.445157,0.7487879451665381,0.9866428987920233,COMPLETE
13,13,-8.450372064588235,2024-09-28 19:13:43.804693,2024-09-28 19:13:46.374294,0 days 00:00:02.569601,0.8150431705866488,0.9754531242048994,COMPLETE
14,14,-8.158873756782192,2024-09-28 19:13:46.375448,2024-09-28 19:13:48.841952,0 days 00:00:02.466504,0.7337841876742477,0.8125701922761277,COMPLETE
15,15,-8.57613967147002,2024-09-28 19:13:48.843317,2024-09-28 19:13:51.669261,0 days 00:00:02.825944,0.7780373536014474,0.9895430784432507,COMPLETE
16,16,-8.107727352194653,2024-09-28 19:13:51.670221,2024-09-28 19:13:54.140333,0 days 00:00:02.470112,0.8448895560884149,0.7175004670931673,COMPLETE
17,17,-7.931615747053765,2024-09-28 19:13:54.141262,2024-09-28 19:13:56.625311,0 days 00:00:02.484049,0.8841082526021737,0.687286423979473,COMPLETE
18,18,-7.972585960349662,2024-09-28 19:13:56.626510,2024-09-28 19:13:59.069190,0 days 00:00:02.442680,0.8927668117845098,0.639851795382088,COMPLETE
19,19,-8.039962912507734,2024-09-28 19:13:59.070188,2024-09-28 19:14:01.463848,0 days 00:00:02.393660,0.9996273464216066,0.5549354860648942,COMPLETE
20,20,-8.39201123525147,2024-09-28 19:14:01.464855,2024-09-28 19:14:04.165829,0 days 00:00:02.700974,0.8810162219854581,0.4126919446516873,COMPLETE
21,21,-8.048216751401187,2024-09-28 19:14:04.166786,2024-09-28 19:14:06.526850,0 days 00:00:02.360064,0.9501924917125032,0.5541934216329802,COMPLETE
22,22,-7.9396372212239585,2024-09-28 19:14:06.527926,2024-09-28 19:14:09.004572,0 days 00:00:02.476646,0.9946560773587462,0.5960494928924879,COMPLETE
23,23,-8.557353483169205,2024-09-28 19:14:09.005676,2024-09-28 19:14:11.509495,0 days 00:00:02.503819,0.629586054802268,0.6428567908903435,COMPLETE
24,24,-7.874850601387326,2024-09-28 19:14:11.510477,2024-09-28 19:14:13.766132,0 days 00:00:02.255655,0.8902051249263692,0.7130794007579774,COMPLETE
25,25,-8.108202971369744,2024-09-28 19:14:13.767083,2024-09-28 19:14:16.071987,0 days 00:00:02.304904,0.8500732501751435,0.7391452879696377,COMPLETE
26,26,-10.405647348877038,2024-09-28 19:14:16.072893,2024-09-28 19:14:18.960300,0 days 00:00:02.887407,0.24876888799452868,0.5833998888568533,COMPLETE
27,27,-8.175343307619459,2024-09-28 19:14:18.961161,2024-09-28 19:14:21.376429,0 days 00:00:02.415268,0.9995136506054181,0.45165849690679016,COMPLETE
28,28,-8.020528232550161,2024-09-28 19:14:21.377457,2024-09-28 19:14:23.542307,0 days 00:00:02.164850,0.9111249746629363,0.7578521667543949,COMPLETE
