,number,value,datetime_start,datetime_complete,duration,params_alpha_actor,params_alpha_critic,state
0,0,2.7031851396711035,2024-09-29 01:48:38.692951,2024-09-29 01:48:41.799548,0 days 00:00:03.106597,0.26478361641097153,0.541068587715524,COMPLETE
1,1,2.680878993247266,2024-09-29 01:48:41.800461,2024-09-29 01:48:45.333480,0 days 00:00:03.533019,0.15029122629285344,0.8460301305701706,COMPLETE
2,2,2.5329223331943305,2024-09-29 01:48:45.334453,2024-09-29 01:48:48.423071,0 days 00:00:03.088618,0.4880705463795225,0.292540113304887,COMPLETE
3,3,2.8989919560945028,2024-09-29 01:48:48.423985,2024-09-29 01:48:50.888434,0 days 00:00:02.464449,0.8193144305994512,0.950191220737934,COMPLETE
4,4,2.8321627673879344,2024-09-29 01:48:50.889564,2024-09-29 01:48:53.819712,0 days 00:00:02.930148,0.30661207876995406,0.919025877871304,COMPLETE
5,5,2.6915200855120784,2024-09-29 01:48:53.820729,2024-09-29 01:48:57.115973,0 days 00:00:03.295244,0.18901462016695145,0.7387968544846307,COMPLETE
6,6,2.8374745133998855,2024-09-29 01:48:57.116922,2024-09-29 01:48:59.610728,0 days 00:00:02.493806,0.6661350454189814,0.6439897464312969,COMPLETE
7,7,2.6572821024197273,2024-09-29 01:48:59.611647,2024-09-29 01:49:03.358748,0 days 00:00:03.747101,0.1253486041296282,0.9775911166049791,COMPLETE
8,8,2.747797698760882,2024-09-29 01:49:03.359629,2024-09-29 01:49:06.055272,0 days 00:00:02.695643,0.6808849934539365,0.45278235299473873,COMPLETE
9,9,2.3530776808292733,2024-09-29 01:49:06.056211,2024-09-29 01:49:10.513612,0 days 00:00:04.457401,0.07738056853223975,0.5514642670092216,COMPLETE
10,10,1.4591923688714157,2024-09-29 01:49:10.514603,2024-09-29 01:49:15.124942,0 days 00:00:04.610339,0.9745539987126863,0.05753683370441759,COMPLETE
11,11,2.868753096600199,2024-09-29 01:49:15.125906,2024-09-29 01:49:17.620180,0 days 00:00:02.494274,0.8057016835564981,0.7008810366223617,COMPLETE
12,12,2.8833476117492602,2024-09-29 01:49:17.621074,2024-09-29 01:49:20.059289,0 days 00:00:02.438215,0.9005238145660135,0.7797542183589545,COMPLETE
13,13,2.8911245469332405,2024-09-29 01:49:20.060430,2024-09-29 01:49:22.578674,0 days 00:00:02.518244,0.97789851366708,0.8254872232912794,COMPLETE
14,14,2.887406939542167,2024-09-29 01:49:22.579578,2024-09-29 01:49:25.282799,0 days 00:00:02.703221,0.7840400394359741,0.978727463595895,COMPLETE
15,15,2.904223542627764,2024-09-29 01:49:25.283725,2024-09-29 01:49:27.717432,0 days 00:00:02.433707,0.9921443318177365,0.8630584020835506,COMPLETE
16,16,2.2956019613794707,2024-09-29 01:49:27.718369,2024-09-29 01:49:31.126366,0 days 00:00:03.407997,0.5289342788345522,0.19354543810376612,COMPLETE
17,17,2.726260939440539,2024-09-29 01:49:31.127306,2024-09-29 01:49:33.771110,0 days 00:00:02.643804,0.8577140617320776,0.42772369838996693,COMPLETE
18,18,2.8986852526332516,2024-09-29 01:49:33.771977,2024-09-29 01:49:36.314392,0 days 00:00:02.542415,0.6899212066292744,0.8749841008206188,COMPLETE
19,19,2.803587537866453,2024-09-29 01:49:36.315371,2024-09-29 01:49:39.075087,0 days 00:00:02.759716,0.4669200039521988,0.6324886025201369,COMPLETE
20,20,2.839687728545354,2024-09-29 01:49:39.076000,2024-09-29 01:49:42.027958,0 days 00:00:02.951958,0.9976872838808352,0.9995551559610074,COMPLETE
21,21,2.8765881655664898,2024-09-29 01:49:42.028813,2024-09-29 01:49:44.589895,0 days 00:00:02.561082,0.6945690155432186,0.8663888590677066,COMPLETE
