,number,value,datetime_start,datetime_complete,duration,params_alpha_actor,params_alpha_critic,state
0,0,-0.5156058519333727,2024-09-28 20:47:43.241549,2024-09-28 20:47:45.791317,0 days 00:00:02.549768,0.7926393437352154,0.9874796198503145,COMPLETE
1,1,-0.5715700995960492,2024-09-28 20:47:45.792345,2024-09-28 20:47:48.518296,0 days 00:00:02.725951,0.2675744191647306,0.6472387470560768,COMPLETE
2,2,-0.6037798628058357,2024-09-28 20:47:48.519219,2024-09-28 20:47:51.326659,0 days 00:00:02.807440,0.33333004253465204,0.5870384037298568,COMPLETE
3,3,-0.5999901211093732,2024-09-28 20:47:51.327557,2024-09-28 20:47:54.028473,0 days 00:00:02.700916,0.40921896284213627,0.632140558166528,COMPLETE
4,4,-0.5588280890147879,2024-09-28 20:47:54.029391,2024-09-28 20:47:56.464960,0 days 00:00:02.435569,0.4900147823009254,0.8074672846138043,COMPLETE
5,5,-0.5079055925877525,2024-09-28 20:47:56.465886,2024-09-28 20:47:58.852810,0 days 00:00:02.386924,0.7468691203397503,0.9658843591856531,COMPLETE
6,6,-0.5685248401333926,2024-09-28 20:47:58.853882,2024-09-28 20:48:01.943592,0 days 00:00:03.089710,0.18364074015099446,0.5274564655693944,COMPLETE
7,7,-0.5947067864274297,2024-09-28 20:48:01.944540,2024-09-28 20:48:04.205180,0 days 00:00:02.260640,0.6335107649292991,0.7319086534112698,COMPLETE
8,8,-0.5263814546827739,2024-09-28 20:48:04.206101,2024-09-28 20:48:08.327494,0 days 00:00:04.121393,0.12691998005103072,0.17251854623490193,COMPLETE
9,9,-0.635036147134558,2024-09-28 20:48:08.328590,2024-09-28 20:48:10.823771,0 days 00:00:02.495181,0.9927244846552625,0.31621694691423274,COMPLETE
10,10,-0.517039021105331,2024-09-28 20:48:10.824692,2024-09-28 20:48:13.225330,0 days 00:00:02.400638,0.7244695633688076,0.9903686685924146,COMPLETE
11,11,-0.532774475496542,2024-09-28 20:48:13.226574,2024-09-28 20:48:15.564425,0 days 00:00:02.337851,0.8927978150050597,0.9399222401272708,COMPLETE
12,12,-0.5658306108017733,2024-09-28 20:48:15.565370,2024-09-28 20:48:17.777010,0 days 00:00:02.211640,0.7492017390783378,0.8550502791698446,COMPLETE
13,13,-0.6378654316749993,2024-09-28 20:48:17.777994,2024-09-28 20:48:20.249638,0 days 00:00:02.471644,0.593713032757447,0.3786200698404556,COMPLETE
14,14,-0.5152302157697783,2024-09-28 20:48:20.250631,2024-09-28 20:48:22.774431,0 days 00:00:02.523800,0.8420326430224354,0.9857063785485191,COMPLETE
15,15,-0.20940442137580678,2024-09-28 20:48:22.775539,2024-09-28 20:48:27.709692,0 days 00:00:04.934153,0.8962275144183904,0.01633677987876697,COMPLETE
16,16,-0.3678819515309579,2024-09-28 20:48:27.710611,2024-09-28 20:48:31.927766,0 days 00:00:04.217155,0.905888227408444,0.04242199861631734,COMPLETE
17,17,-0.4260739206853851,2024-09-28 20:48:31.929030,2024-09-28 20:48:36.015920,0 days 00:00:04.086890,0.9811191652269228,0.05819871801498764,COMPLETE
18,18,-0.22432427808972677,2024-09-28 20:48:36.017081,2024-09-28 20:48:41.146482,0 days 00:00:05.129401,0.6178042793209261,0.018574006910269114,COMPLETE
19,19,-0.6048805274622487,2024-09-28 20:48:41.147502,2024-09-28 20:48:44.176145,0 days 00:00:03.028643,0.6062705209326837,0.1832130439754088,COMPLETE
20,20,-0.6331012425718057,2024-09-28 20:48:44.177301,2024-09-28 20:48:46.781406,0 days 00:00:02.604105,0.4792835192595595,0.39292614614271865,COMPLETE
21,21,-0.15295819935006805,2024-09-28 20:48:46.782425,2024-09-28 20:48:52.189757,0 days 00:00:05.407332,0.8845610105124271,0.01081923670473231,COMPLETE
22,22,-0.5659811149896409,2024-09-28 20:48:52.190811,2024-09-28 20:48:55.556602,0 days 00:00:03.365791,0.6624431991480599,0.13189578751677827,COMPLETE
23,23,-0.20584983925442257,2024-09-28 20:48:55.557524,2024-09-28 20:49:00.748891,0 days 00:00:05.191367,0.8789820354833693,0.016113991378403525,COMPLETE
24,24,-0.6418783897279537,2024-09-28 20:49:00.749909,2024-09-28 20:49:03.522271,0 days 00:00:02.772362,0.913558855099962,0.2427565867996132,COMPLETE
25,25,-0.5289593150136626,2024-09-28 20:49:03.523369,2024-09-28 20:49:07.000512,0 days 00:00:03.477143,0.8235760531715833,0.10461071047105353,COMPLETE
26,26,-0.6318938978212039,2024-09-28 20:49:07.001570,2024-09-28 20:49:09.581372,0 days 00:00:02.579802,0.9998970192192087,0.2656812851360617,COMPLETE
27,27,-0.1976991305386892,2024-09-28 20:49:09.582400,2024-09-28 20:49:14.787792,0 days 00:00:05.205392,0.8866283909232286,0.015009901848189577,COMPLETE
28,28,-0.527976321695554,2024-09-28 20:49:14.788811,2024-09-28 20:49:18.342727,0 days 00:00:03.553916,0.6983733875969392,0.10417977840550717,COMPLETE
29,29,-0.6165285243925012,2024-09-28 20:49:18.343617,2024-09-28 20:49:21.148758,0 days 00:00:02.805141,0.8003781007571257,0.20401994738812218,COMPLETE
30,30,-0.6420776415206432,2024-09-28 20:49:21.149723,2024-09-28 20:49:23.668841,0 days 00:00:02.519118,0.5532753188112978,0.41723467276122916,COMPLETE
31,31,-0.4732260653875345,2024-09-28 20:49:23.669895,2024-09-28 20:49:27.321107,0 days 00:00:03.651212,0.8753856865281473,0.07436027003491963,COMPLETE
